"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
-4.38416811936427,0,0,0,0,0,0,0,-0.0794763736426831,1,-1
7.65544056086006,1,1,0,0,0,1,0,-2.54378645448014,1,-1
-6.81595567468582,1,1,0,0,0,1,0,-2.35536956246942,-1,-1
-1.22646675806963,1,1,0,0,0,1,0,1.45315548405051,-1,-1
4.01292351101768,0,0,0,0,0,0,0,0.689755253121257,1,1
0.729573512396284,0,0,0,0,0,0,0,0.174704594630748,1,-1
-6.79776149755047,1,1,0,0,0,1,0,1.71586082456633,1,1
4.98945713505032,0,0,0,0,0,0,0,-0.418563059344888,-1,1
5.69699277577918,1,1,0,0,0,1,0,-0.199305117502809,1,-1
-1.98181379295243,0,0,0,0,0,0,0,0.302499883901328,-1,-1
-0.680350680542707,1,1,0,0,0,1,0,1.75342521080747,-1,-1
-7.39506941867572,1,1,0,0,0,1,0,0.880924078729004,-1,-1
-3.47495515109312,0,0,1,1,1,1,1,1.28667357098311,-1,1
1.22934014577723,1,1,0,0,0,1,0,-2.23343818411231,-1,-1
-1.22101085621354,1,1,0,0,0,1,0,-1.44439530363306,-1,-1
-5.02838510342993,0,0,0,0,0,0,0,-0.731019325274974,-1,-1
4.76759634449087,0,0,0,0,0,0,0,-0.0825445217080416,1,1
-1.40947034384225,1,1,0,0,0,1,0,0.419317975547165,-1,1
-0.129401235926383,1,1,0,0,0,1,0,-0.538145258370787,-1,1
-22.8637803294756,0,0,1,1,1,1,1,0.343841439671814,-1,1
3.31582149624017,0,0,1,1,1,1,1,-1.46579746436328,-1,1
1.80870377499437,1,1,0,0,0,1,0,-0.586155342496931,-1,-1
-13.2843191349264,0,0,0,0,0,0,0,-1.19859377844259,-1,1
-0.793401665792833,1,1,0,0,0,1,0,-0.706710953824222,1,1
-4.25403444402438,1,1,0,0,0,1,0,-0.405668593198061,-1,-1
1.66546827714344,1,1,0,0,0,1,0,-0.695967772509903,1,1
5.69162131322378,0,0,0,0,0,0,0,0.840330720879138,-1,1
2.38467065379204,1,1,0,0,0,1,0,0.808010290656239,-1,1
2.14855214993802,1,1,0,0,0,1,0,1.74344207188114,-1,1
-6.63002007170998,0,0,0,0,0,0,0,0.893767887167633,1,1
-8.06243484434968,1,1,0,0,0,1,0,2.52986221341416,-1,1
-1.65950527215959,1,1,0,0,0,1,0,-0.322658350132406,1,1
2.31211066006921,0,0,0,0,0,0,0,0.10991021739319,-1,1
2.99843226236122,0,0,0,0,0,0,0,0.0272986738942564,1,1
-8.16449001543036,1,1,0,0,0,1,0,-2.20278205350041,-1,1
0.58680735470262,0,0,0,0,0,0,0,-0.187094988673925,-1,-1
-5.30620712276532,0,0,1,1,1,1,1,1.55587564362213,1,-1
1.51819871222717,0,0,0,0,0,0,0,-0.941797090973705,-1,1
-3.16399467702378,1,1,0,0,0,1,0,0.236011385824531,1,1
